"x1.2","x2.1","x2.2","x8.1","x8.2","x8.3","x8.4","x8.5","x8.6","x8.7","x8.8","x8.9"
345,18,"1","2","1","5","1","5","5","1","5","5"
344,19,"1","1","1","4","4","3","4","2","4","4"
1000,19,"1",NA,NA,"5","5","5","5",NA,NA,"5"
30,17,"2","1","1","5","5","5","5","1","5","5"
30200,16,"2",NA,NA,"4","5","4","5","1","4","4"
1001,19,"1",NA,NA,"5","5","5","5","5","5","5"
1002,20,"1","1","2","1","2","1","2","1","4","2"
1003,20,"1",NA,NA,"5","5","2","2","2","2","2"
343,19,"2","2","1","1","2","2","3","4","4","2"
346,19,"1","1","2","4","4","4","4","3","4","4"
484,15,"1","1","2","5","5","4","5","1","4","4"
485,14,"1","1","2","5","5","4","5","1","4","4"
486,13,"1","2","2","4","4","4","4","2","2","2"
487,15,"1","1","2","5","5","4","5","1","4","4"
104,19,"2","1",NA,"3","2","2","3","4","4","4"
105,19,"1","1","2","4","2","4","4","1","2","2"
106,18,"1","2","2","3","2","2","3","2","2","2"
108,20,"2","1","2","4","2","4","4","2","4","4"
111,13,"2","1","2","4","2","4","4","1","4","4"
87,16,"1",NA,NA,"3","2","3","3","3","3","3"
88,19,"1","1","2","5","2","4","4","2",NA,NA
89,18,"2","1","2","3","2","3","3","3","3","3"
90,18,"1","1","1","1","1","1","1","1","1","1"
91,13,"1","1","2","3","3","3","3","3","3","3"
283,20,"2","2","2","4","4","4","4","3","2","1"
284,20,"2","2","2","4","4","4","4","4","4",NA
285,19,"2","2","1","1","4","4","4","5","3","4"
349,20,"2","1","1","2","4","4","4","2","2","4"
348,13,"2","1","1","2","2","4","4","3","4","4"
350,19,"1","2","1","4","2","2","4","2","4","4"
35,18,"1","2","1","5","5","3","5","1","3","5"
36,17,"1","2","1","5",NA,"1","5","1","5","5"
37,16,"1","2",NA,"5","3","4","5","1","3","4"
38,15,"2","1","2","5","1","3","5","1","5","3"
39,19,"1","2","1","5","5","4","5","1","4","5"
40,15,"2","1","2","5","1","3","5","1","5","4"
155,13,"1","2","1","4","4","3","4","1","2","3"
305,16,"1","2","2","5","3","3","5","1","5","5"
117,13,"2","2","1","4","3","5","5","3","2","5"
1,19,"1","1","1","5","2","1","5","2","1","1"
341,20,"1","3","2","5","2","4","5","1","4","2"
301,13,"1","1",NA,"5","4","5","5","1","3","4"
361,19,"1","1","2","4","2","2","5","1","4","4"
223,20,"2","2","2","2","2","4","4","4","4","4"
224,16,"1","2","2","5","5","4","5","2","4","4"
371,16,"1","1","2","4","2","4","4","1","2","4"
